"";"";"";"";"*DOC064";""
"1";"*DOC064";"1.76089484860654";"-0.153788129857285";"0.825949649481055";"95"
"2";"*DOC068";"1.45428922219363";"-0.27711117158361";"0.820307517948087";"104"
"3";"*DOC098";"-0.50293529809296";"0.912320289816477";"0.81844380749863";"110"
"4";"*DOC133";"1.93451707330771";"-0.0251602951872291";"0.81085044668091";"128"
"5";"*DOC146";"-0.137321959265144";"0.859425530237424";"0.808523327146723";"139"
"6";"*DOC047";"1.46779461609435";"0.0963659807141341";"0.807971769594789";"144"
"7";"*DOC022";"-0.200970497185881";"0.554587819389447";"0.807690953763553";"146"
"8";"*DOC139";"1.3025105351322";"0.292039514047378";"0.807549916216027";"148"
"9";"*DOC070";"1.40176650745601";"0.301301404390094";"0.805380834290899";"158"
"10";"*DOC122";"0.175911975867782";"0.516563160869903";"0.801789413884242";"172"
"11";"*DOC120";"-0.564487654714642";"0.495159357787551";"0.800848743812793";"174"
"12";"*DOC172";"0.0939201182312999";"-0.0413339688886572";"0.800005037055269";"178"
