"";"";"";"";"habilidad";""
"1";"habilidad";"-1.11016608230681";"1.48455281162576";"1.51512316038504";"14"
"2";"evaluación";"-1.1916346274769";"1.31115494615084";"1.4217193934892";"15"
"3";"necesidad";"-1.2443345858813";"0.996345563951641";"1.2758220655832";"31"
"4";"comprensión";"-0.802834648651978";"1.45750315273149";"1.12290378965118";"53"
"5";"efectivo";"-1.10462627015018";"1.32958392085305";"1.12053900843799";"54"
"6";"ofrecer";"-0.687279763325433";"1.10790249858787";"1.10550690798126";"60"
"7";"facilitar";"-1.01885775544294";"1.32402874189416";"1.08333464465801";"73"
"8";"recurso";"-0.873063971850113";"0.843476363731363";"1.07673200920396";"75"
"9";"mejora";"-0.984707491728341";"1.52346312274406";"1.06782568483931";"80"
"10";"pensamiento";"-0.813431035985329";"1.12827379216705";"1.046908359232";"89"
"11";"entorno";"-0.986670349097793";"0.928651610138483";"1.03733214079924";"92"
"12";"educador";"-1.40434296347868";"1.03663103431179";"1.02492191832916";"101"
"13";"profesorado";"-1.28444967724802";"1.01200529413556";"0.995077904256329";"118"
"14";"continuo";"-1.34513995377751";"1.27699693988025";"0.994868323718238";"120"
"15";"apoyo";"-1.13717715357502";"1.03613896360971";"0.994676561768406";"121"
"16";"significativo";"-0.915754595434278";"1.11692415471434";"0.992262991563554";"125"
"17";"específico";"-0.499455074880944";"0.94560974004663";"0.991373759159024";"128"
"18";"práctica";"-0.770498673088475";"1.24881835970236";"0.986219520379143";"131"
"19";"metodología";"-1.12171224687901";"1.32565169715429";"0.976019227105235";"137"
"20";"individual";"-0.996614432445214";"1.51392197764828";"0.973829662009921";"138"
"21";"interacción";"-0.481020227264093";"1.24137943060581";"0.952228442015151";"158"
"22";"contexto";"-0.664678265534449";"0.55265349357083";"0.95092004853444";"161"
"23";"potencial";"-1.10968970695864";"0.471506313041696";"0.950061786533313";"165"
"24";"discriminación";"-0.820257444425663";"-3.32682627124445";"0.938777104888233";"183"
"25";"parecer";"1.57000824625422";"-0.208143101679271";"0.938614192081296";"184"
"26";"llegar";"1.56709587561753";"-0.178289962322686";"0.934453551722888";"191"
"27";"aporte";"-1.20113318110059";"1.4190687518457";"0.923431057876472";"200"
"28";"alumnado";"-0.5549153565558";"1.08951145174447";"0.921835021471013";"203"
"29";"activo";"-1.07014895968631";"0.852873942010154";"0.920133346292307";"204"
"30";"valioso";"-0.99170596189121";"1.71687264313131";"0.917361707313875";"208"
"31";"esencial";"-1.22947912906884";"0.466169576335787";"0.917224249633022";"209"
"32";"resolución";"-0.935311157218813";"1.22531563384366";"0.91688060543089";"211"
"33";"iag";"-0.823519638564296";"1.22614548691857";"0.9154572396307";"213"
"34";"brindar";"-0.858378273585606";"1.0748492448619";"0.914259575948454";"216"
"35";"móvil";"2.04115307245297";"-0.273083982990341";"0.911239325238603";"220"
"36";"explicar";"1.40245526244184";"-0.0340964231946399";"0.910528702968762";"221"
"37";"adolescente";"1.9373044777368";"-0.407372742934749";"0.910150270094315";"222"
"38";"hombre";"2.29130747720904";"-0.202958855443718";"0.908413381991193";"225"
"39";"llamar";"1.77415379345664";"-0.261867808048061";"0.906614128829164";"227"
"40";"entrada";"2.06067691018063";"-0.193836922492123";"0.905102942843986";"229"
"41";"falso";"2.17915273796296";"-0.210544291505356";"0.902404699479096";"233"
"42";"probabilidad";"2.2512626173015";"-0.262794632597615";"0.898367940734296";"235"
