"";"";"";"";"otro";""
"1";"otro";"0.513440960603285";"-0.0956868900770334";"1.29907547456155";"31"
"2";"alguno";"0.64703616005032";"-0.0580818671306437";"1.20050356436793";"34"
"3";"hasta";"0.850165521625955";"0.0632078021065062";"1.16890856701103";"36"
"4";"entonces";"1.43071704556924";"-0.0605913147811862";"1.11939405235888";"41"
"5";"incluso";"0.762480324496601";"-0.0482044516776811";"0.986020588693636";"62"
"6";"cualquier";"0.699622916844521";"-0.263918096983331";"0.975807113661526";"65"
"7";"pocos";"1.26252065661186";"-0.247153067985856";"0.973738873763624";"66"
"8";"mientras";"0.662180838133065";"0.136559358106686";"0.918452109948961";"86"
"9";"tras";"0.784713570717981";"0.0864853360059081";"0.878490040242371";"103"
"10";"cierto";"0.567182658164407";"0.0104811026069416";"0.873759753758654";"106"
"11";"desde";"-0.0482880131191455";"-0.261083621268175";"0.844862655466841";"130"
"12";"mediante";"0.0806116169628908";"0.281022296604824";"0.82435279654431";"157"
"13";"2013";"-0.0264020878833865";"-0.616052589118005";"0.819465655463785";"166"
"14";"dentro";"-0.25594207102963";"-0.0773269868398738";"0.814652460121756";"176"
