"";"X";"V1"
"1";1;0
"2";2;0
"3";3;1
"4";4;1
"5";5;3
"6";6;2
"7";7;2
"8";8;3
"9";9;3
"10";10;0
"11";11;0
"12";12;0
"13";13;1
"14";14;2
"15";15;1
"16";16;1
"17";17;3
"18";18;2
"19";19;3
"20";20;1
"21";21;1
"22";22;1
"23";23;3
"24";24;1
"25";25;1
"26";26;1
"27";27;1
"28";28;3
"29";29;1
"30";30;1
"31";31;1
"32";32;1
"33";33;3
"34";34;1
"35";35;1
"36";36;3
"37";37;3
"38";38;1
"39";39;1
"40";40;1
"41";41;2
"42";42;3
"43";43;1
"44";44;2
"45";45;3
"46";46;2
"47";47;3
"48";48;0
"49";49;3
"50";50;3
"51";51;1
"52";52;1
"53";53;3
"54";54;1
"55";55;1
"56";56;1
"57";57;3
"58";58;1
"59";59;3
"60";60;1
"61";61;1
"62";62;1
"63";63;1
"64";64;1
"65";65;1
"66";66;1
"67";67;1
"68";68;1
"69";69;1
"70";70;3
"71";71;1
"72";72;1
"73";73;1
"74";74;0
"75";75;3
"76";76;1
"77";77;3
"78";78;3
"79";79;1
"80";80;1
"81";81;1
"82";82;1
"83";83;1
"84";84;1
"85";85;1
"86";86;1
"87";87;1
"88";88;1
"89";89;1
"90";90;1
"91";91;1
"92";92;1
"93";93;1
"94";94;1
"95";95;1
"96";96;1
"97";97;1
"98";98;3
"99";99;1
"100";100;0
"101";101;1
"102";102;3
"103";103;1
"104";104;2
"105";105;1
"106";106;1
"107";107;1
"108";108;1
"109";109;3
"110";110;3
"111";111;1
"112";112;3
"113";113;0
"114";114;1
"115";115;1
"116";116;1
"117";117;1
"118";118;1
"119";119;1
"120";120;1
"121";121;1
"122";122;3
"123";123;1
"124";124;1
"125";125;1
"126";126;1
"127";127;1
"128";128;1
"129";129;1
"130";130;1
"131";131;3
"132";132;1
"133";133;1
"134";134;3
"135";135;3
"136";136;3
"137";137;3
"138";138;1
"139";139;1
"140";140;1
"141";141;1
"142";142;1
"143";143;3
"144";144;1
"145";145;1
"146";146;1
"147";147;1
"148";148;1
"149";149;1
"150";150;3
"151";151;3
"152";152;2
"153";153;1
"154";154;1
"155";155;1
"156";156;3
"157";157;1
"158";158;1
"159";159;1
"160";160;1
"161";161;1
"162";162;1
"163";163;1
"164";164;1
"165";165;3
"166";166;3
"167";167;1
"168";168;1
"169";169;1
"170";170;2
"171";171;1
"172";172;2
"173";173;1
"174";174;2
"175";175;1
"176";176;1
"177";177;1
"178";178;1
"179";179;0
"180";180;0
"181";181;1
"182";182;1
"183";183;1
"184";184;1
"185";185;1
"186";186;1
"187";187;1
"188";188;1
"189";189;1
"190";190;1
"191";191;1
"192";192;1
"193";193;1
"194";194;1
"195";195;2
"196";196;2
"197";197;1
"198";198;1
"199";199;1
"200";200;1
"201";201;1
"202";202;1
"203";203;3
"204";204;1
"205";205;1
"206";206;1
"207";207;1
"208";208;1
"209";209;1
"210";210;1
"211";211;1
"212";212;1
"213";213;1
"214";214;1
"215";215;1
"216";216;1
"217";217;3
"218";218;1
"219";219;1
"220";220;1
"221";221;1
"222";222;1
"223";223;2
"224";224;1
"225";225;2
"226";226;1
"227";227;1
"228";228;1
"229";229;1
"230";230;1
"231";231;2
"232";232;1
"233";233;1
"234";234;1
"235";235;1
"236";236;1
"237";237;1
"238";238;1
"239";239;1
"240";240;1
"241";241;1
"242";242;1
"243";243;1
"244";244;1
"245";245;1
"246";246;1
"247";247;1
"248";248;1
"249";249;1
"250";250;1
"251";251;1
"252";252;1
"253";253;1
"254";254;1
"255";255;1
"256";256;1
"257";257;1
"258";258;1
"259";259;1
"260";260;1
"261";261;1
"262";262;0
"263";263;3
"264";264;1
"265";265;1
"266";266;1
"267";267;1
"268";268;1
"269";269;1
"270";270;1
"271";271;1
"272";272;1
"273";273;1
"274";274;1
"275";275;2
"276";276;3
"277";277;1
"278";278;1
"279";279;2
"280";280;2
"281";281;1
"282";282;1
"283";283;1
"284";284;1
"285";285;1
"286";286;1
"287";287;1
"288";288;1
"289";289;1
"290";290;1
"291";291;1
"292";292;1
"293";293;1
"294";294;1
"295";295;1
"296";296;1
"297";297;1
"298";298;1
"299";299;1
"300";300;1
"301";301;1
"302";302;1
"303";303;1
"304";304;1
"305";305;1
"306";306;1
"307";307;1
"308";308;1
"309";309;1
"310";310;1
"311";311;1
"312";312;1
"313";313;1
"314";314;1
"315";315;1
"316";316;1
"317";317;1
"318";318;1
"319";319;1
"320";320;1
"321";321;1
"322";322;1
"323";323;1
"324";324;1
"325";325;1
"326";326;1
"327";327;1
"328";328;1
"329";329;1
"330";330;1
"331";331;3
"332";332;1
"333";333;1
"334";334;1
"335";335;1
"336";336;2
"337";337;2
"338";338;1
"339";339;2
"340";340;1
"341";341;1
"342";342;1
"343";343;3
"344";344;1
"345";345;1
"346";346;1
"347";347;2
"348";348;1
"349";349;2
"350";350;1
"351";351;1
"352";352;1
"353";353;3
"354";354;1
"355";355;1
"356";356;1
"357";357;1
"358";358;1
"359";359;1
"360";360;1
"361";361;1
"362";362;3
"363";363;3
"364";364;1
"365";365;3
"366";366;3
"367";367;3
"368";368;1
"369";369;1
"370";370;3
"371";371;1
"372";372;2
"373";373;1
"374";374;1
"375";375;1
"376";376;1
"377";377;1
"378";378;1
"379";379;2
"380";380;3
"381";381;3
"382";382;3
"383";383;1
"384";384;1
"385";385;3
"386";386;1
"387";387;1
"388";388;1
"389";389;3
"390";390;3
"391";391;3
"392";392;3
"393";393;0
"394";394;2
"395";395;3
"396";396;2
"397";397;1
"398";398;3
"399";399;3
"400";400;3
"401";401;2
"402";402;1
"403";403;2
"404";404;3
"405";405;3
"406";406;2
"407";407;3
"408";408;3
"409";409;3
"410";410;3
"411";411;3
"412";412;3
"413";413;3
"414";414;3
"415";415;2
"416";416;1
"417";417;3
"418";418;3
"419";419;3
"420";420;3
"421";421;3
"422";422;2
"423";423;1
"424";424;1
"425";425;0
"426";426;2
"427";427;3
"428";428;3
"429";429;3
"430";430;3
"431";431;3
"432";432;3
"433";433;3
"434";434;3
"435";435;0
"436";436;0
"437";437;0
"438";438;0
"439";439;2
"440";440;0
"441";441;0
"442";442;2
"443";443;0
"444";444;0
"445";445;0
"446";446;1
"447";447;1
"448";448;0
"449";449;0
"450";450;0
"451";451;0
"452";452;0
"453";453;1
"454";454;1
"455";455;0
"456";456;0
"457";457;0
"458";458;0
"459";459;0
"460";460;0
"461";461;0
"462";462;0
"463";463;0
"464";464;0
"465";465;0
"466";466;2
"467";467;0
"468";468;1
"469";469;1
"470";470;1
"471";471;1
"472";472;1
"473";473;1
"474";474;1
"475";475;3
"476";476;1
"477";477;1
"478";478;1
"479";479;1
"480";480;1
"481";481;1
"482";482;1
"483";483;1
"484";484;1
"485";485;3
"486";486;1
"487";487;1
"488";488;1
"489";489;1
"490";490;1
"491";491;1
"492";492;1
"493";493;1
"494";494;3
"495";495;1
"496";496;1
"497";497;1
"498";498;1
"499";499;1
