"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"ia";-0,680689875376766;-0,138683373994336;-0,979869699259811;-0,199638103758997;0,974198412779832;0,0258015872201541;0,00938397300514614;0,000389526461607116;0,0202529442818144;0,309913834919778;0,00194522613597611
"estudiante";-0,872994414192253;1,31536963475225;-0,552980563270233;0,833194153031174;0,408411654245191;0,591588345754745;0,00632568609407068;0,0143608561114618;0,00830012641357737;0,613871941967849;0,00312780935495953
"más";0,388336112114906;0,209323829606724;0,880263066387321;0,474485968132241;0,843608992819549;0,156391007180451;0,00118823817203892;0,000345243321798314;0,00787930557031264;0,189999544576935;0,000284441567491272
"aprendizaje";-0,868671792184725;1,54545896722306;-0,489983180745805;0,871731886870168;0,331176348850812;0,668823651149182;0,00561800216676764;0,0177821971775514;0,00744509877577109;0,678330655290344;0,00342573174795515
"educación";-1,07784792007811;-0,509828351262902;-0,903974948283798;-0,427585421729161;0,875080613860884;0,124919386139115;0,00794569690594321;0,00177772665374484;0,00683938448049541;0,517784253222599;0,00183364262382816
"dato";0,208350832025189;-0,678208014674701;0,293662781905244;-0,955909080678531;0,128856299198309;0,871143700801684;0,000255314253206384;0,00270526876188992;0,00588145234224866;0,260830151752228;0,000400129130493384
"educativo";-1,37425260280679;0,2936092801698;-0,977929572021602;0,208934803624593;0,971699938154673;0,0283000618453253;0,0109258335020756;0,000498724838396966;0,00578524081744658;0,626492480362302;0,00227066552881433
"uso";-0,837330927292532;-0,233865877227744;-0,963139061913519;-0,269003991450586;0,952587472301119;0,0474125276988807;0,00395116895246452;0,00030822300836555;0,00563548548753726;0,385531689546037;0,000837628602621703
"tecnología";-0,872803544978073;-0,272305358170496;-0,95461867425191;-0,297830802251085;0,941526294807062;0,0584737051929382;0,00423567468367519;0,000412289209296253;0,0055601895116052;0,404218007314694;0,000908491582469904
"herramienta";-0,698819562655051;1,12162947532084;-0,52880190502617;0,848745277006414;0,378260477754633;0,621739522245361;0,0027377827531071;0,00705289961295094;0,00560620371911924;0,510604870015041;0,00146163448349043
"docente";-1,19934545947687;0,830895379829868;-0,82200633546403;0,569478344151028;0,765559831420283;0,234440168579714;0,00615790897300939;0,00295554354540569;0,00428099454271499;0,615984959643492;0,00162436974054202
"utilizar";0,239871656181397;0,505295343097725;0,428847287266995;0,903377000041367;0,261009956302478;0,738990043697517;0,000245695832690425;0,0010902610935585;0,00427011845730258;0,210991897918;0,000190095344247221
"sistema";-0,18237213838789;-0,0902467384594705;-0,896266099385871;-0,443516717939287;0,864871642794872;0,135128357205127;0,000129834757918887;3,17934035394139e-05;0,00390367804109989;0,0881247795341481;3,03158729767079e-05
"digital";-0,935941422735209;-0,728931357495781;-0,788952972806669;-0,614453583844637;0,720974162729181;0,279025837270817;0,00284280044073633;0,00172433762043445;0,00324525656267177;0,495340912601034;0,00079626465180416
"proceso";-0,935914226299089;1,12978529889588;-0,637939619722499;0,770086385795979;0,51820049254018;0,481799507459815;0,00331970549118516;0,00483748128422612;0,003789897455247;0,584255110756276;0,00129369678648075
"información";0,234690466189925;0,102114094757785;0,916963213223254;0,398971760398257;0,892228180868982;0,107771819131017;0,000190221604751005;3,60114268347975e-05;0,00345357542941713;0,111653633708758;4,30541152373832e-05
