"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"29038";"73640";"39.43";"****";""
"5636";"24208";"23.28";"-3938.763";"ia";" 0.000000e+00"
" 529";" 6915";" 7.65";"-3227.718";"educativo";" 0.000000e+00"
"1711";" 9921";"17.25";"-2363.033";"estudiante";" 0.000000e+00"
"1236";" 8175";"15.12";"-2276.040";"educación";" 0.000000e+00"
"1517";" 8899";"17.05";"-2123.813";"aprendizaje";" 0.000000e+00"
" 551";" 5117";"10.77";"-1891.836";"docente";" 0.000000e+00"
" 144";" 2762";" 5.21";"-1406.893";"enseñanza";"6.676778e-308"
" 509";" 4208";"12.10";"-1396.426";"desarrollo";"1.256227e-305"
"1281";" 6646";"19.27";"-1242.863";"tecnología";"2.951662e-272"
" 114";" 2290";" 4.98";"-1174.752";"competencia";"1.872199e-257"
"1347";" 6736";"20.00";"-1172.613";"uso";"5.461493e-257"
" 730";" 4530";"16.11";"-1098.866";"proceso";"5.826090e-241"
" 129";" 2190";" 5.89";"-1063.259";"ético";"3.194631e-233"
"1426";" 6701";"21.28";"-1017.017";"herramienta";"3.593002e-223"
" 265";" 2567";"10.32";" -943.620";"evaluación";"3.232531e-207"
" 232";" 2422";" 9.58";" -934.535";"necesidad";"3.051296e-205"
" 327";" 2754";"11.87";" -909.792";"habilidad";"7.295707e-200"
" 253";" 2447";"10.34";" -897.014";"crítico";"4.373589e-197"
" 155";" 1984";" 7.81";" -853.551";"formación";"1.228821e-187"
" 219";" 2195";" 9.98";" -821.875";"desafío";"9.467017e-181"
" 199";" 2079";" 9.57";" -798.714";"enfoque";"1.027020e-175"
"  78";" 1506";" 5.18";" -755.274";"fomentar";"2.861220e-166"
" 717";" 3879";"18.48";" -752.354";"digital";"1.234959e-165"
"  90";" 1517";" 5.93";" -727.799";"marco";"2.696026e-160"
"  54";" 1333";" 4.05";" -711.573";"promover";"9.103503e-157"
"  37";" 1186";" 3.12";" -665.516";"pedagógico";"9.436142e-147"
"  46";" 1184";" 3.89";" -636.663";"integración";"1.777306e-140"
"  57";" 1229";" 4.64";" -633.560";"implementación";"8.405307e-140"
" 315";" 2242";"14.05";" -623.786";"académico";"1.122653e-137"
" 195";" 1724";"11.31";" -584.532";"político";"3.875763e-129"
" 128";" 1450";" 8.83";" -580.083";"ética|ético";"3.598040e-128"
" 235";" 1866";"12.59";" -577.410";"impacto";"1.372435e-127"
" 171";" 1610";"10.62";" -572.080";"oportunidad";"1.980408e-126"
" 220";" 1791";"12.28";" -566.493";"estrategia";"3.252793e-125"
" 241";" 1864";"12.93";" -562.449";"práctico";"2.465229e-124"
"  77";" 1193";" 6.45";" -552.192";"garantizar";"4.198015e-122"
" 329";" 2102";"15.65";" -512.345";"tecnológico";"1.959098e-113"
" 168";" 1494";"11.24";" -507.304";"abordar";"2.447587e-112"
" 108";" 1245";" 8.67";" -501.635";"institución";"4.189512e-111"
" 171";" 1465";"11.67";" -482.293";"fundamental";"6.774379e-107"
" 133";" 1300";"10.23";" -472.496";"innovación";"9.173148e-105"
" 490";" 2585";"18.96";" -470.341";"mejorar";"2.701043e-104"
" 416";" 2331";"17.85";" -469.635";"recurso";"3.846927e-104"
"  60";"  992";" 6.05";" -469.229";"educador";"4.716025e-104"
" 747";" 3418";"21.85";" -463.695";"investigación";"7.546005e-103"
"  85";" 1071";" 7.94";" -451.404";"responsable";"3.568546e-100"
" 173";" 1419";"12.19";" -449.547";"efectivo";"9.049737e-100"
" 230";" 1621";"14.19";" -442.241";"superior";" 3.521705e-98"
" 195";" 1480";"13.18";" -435.979";"potencial";" 8.119855e-97"
" 221";" 1570";"14.08";" -431.842";"profesional";" 6.456202e-96"
"  47";"  862";" 5.45";" -421.670";"colaboración";" 1.056753e-93"
" 530";" 2621";"20.22";" -419.968";"experiencia";" 2.479385e-93"
" 810";" 3523";"22.99";" -418.741";"conocimiento";" 4.587089e-93"
" 251";" 1644";"15.27";" -411.129";"entorno";" 2.081810e-91"
" 171";" 1347";"12.69";" -410.708";"personalizar";" 2.570520e-91"
"  84";"  967";" 8.69";" -387.831";"profesorado";" 2.454762e-86"
" 277";" 1688";"16.41";" -383.400";"aspecto";" 2.263515e-85"
" 292";" 1740";"16.78";" -382.830";"aula";" 3.011267e-85"
" 223";" 1485";"15.02";" -378.280";"ámbito";" 2.947923e-84"
" 190";" 1351";"14.06";" -370.852";"facilitar";" 1.221014e-82"
" 108";" 1021";"10.58";" -360.930";"esencial";" 1.766234e-80"
" 134";" 1121";"11.95";" -359.889";"gestión";" 2.977042e-80"
"  71";"  856";" 8.29";" -351.592";"crucial";" 1.907432e-78"
" 127";" 1071";"11.86";" -345.993";"apoyo";" 3.160060e-77"
" 151";" 1160";"13.02";" -344.323";"adaptar";" 7.302548e-77"
"  53";"  754";" 7.03";" -334.906";"continuo";" 8.207802e-75"
" 512";" 2376";"21.55";" -328.779";"ofrecer";" 1.773031e-73"
"  71";"  807";" 8.80";" -320.615";"participación";" 1.064266e-71"
" 530";" 2412";"21.97";" -318.259";"objetivo";" 3.468035e-71"
" 186";" 1239";"15.01";" -314.665";"integrar";" 2.104262e-70"
" 335";" 1751";"19.13";" -309.496";"diseño";" 2.811756e-69"
"  47";"  684";" 6.87";" -306.487";"personalización";" 1.272297e-68"
" 306";" 1646";"18.59";" -306.215";"comprensión";" 1.458091e-68"
"  50";"  696";" 7.18";" -305.955";"responsabilidad";" 1.660880e-68"
" 314";" 1672";"18.78";" -305.535";"pensamiento";" 2.050662e-68"
"  95";"  877";"10.83";" -303.977";"aprovechar";" 4.480032e-68"
" 140";" 1038";"13.49";" -296.738";"perspectiva";" 1.692343e-66"
" 164";" 1127";"14.55";" -296.651";"mejora";" 1.768015e-66"
" 221";" 1331";"16.60";" -295.770";"sociedad";" 2.750541e-66"
" 162";" 1117";"14.50";" -295.132";"importancia";" 3.788318e-66"
" 543";" 2387";"22.75";" -287.527";"contexto";" 1.719910e-64"
"  49";"  651";" 7.53";" -279.946";"adopción";" 7.714231e-63"
" 246";" 1387";"17.74";" -278.619";"área";" 1.501748e-62"
" 109";"  889";"12.26";" -278.168";"asegurar";" 1.882792e-62"
"  76";"  751";"10.12";" -272.964";"transformación";" 2.564410e-61"
" 125";"  939";"13.31";" -271.708";"plan";" 4.814635e-61"
"  96";"  826";"11.62";" -270.514";"retroalimentación";" 8.765655e-61"
" 199";" 1201";"16.57";" -267.209";"significativo";" 4.604114e-60"
"  76";"  738";"10.30";" -264.939";"tic";" 1.438861e-59"
" 796";" 3120";"25.51";" -264.310";"desarrollar";" 1.972979e-59"
" 117";"  896";"13.06";" -264.177";"privacidad";" 2.109377e-59"
"  43";"  595";" 7.23";" -260.499";"implicación";" 1.335675e-58"
"  88";"  774";"11.37";" -257.929";"contribuir";" 4.852103e-58"
"  84";"  758";"11.08";" -257.747";"apoyar";" 5.317288e-58"
"   7";"  427";" 1.64";" -256.852";"equidad";" 8.330372e-58"
"  97";"  805";"12.05";" -255.522";"beneficio";" 1.624317e-57"
"  92";"  778";"11.83";" -250.924";"metodología";" 1.632707e-56"
"  35";"  540";" 6.48";" -247.304";"inclusión";" 1.005116e-55"
"   8";"  410";" 1.95";" -242.516";"pedagógicas";" 1.111830e-54"
" 113";"  834";"13.55";" -236.622";"activo";" 2.144024e-53"
"  37";"  531";" 6.97";" -236.025";"protección";" 2.893415e-53"
" 227";" 1240";"18.31";" -235.687";"evaluar";" 3.429796e-53"
"  35";"  513";" 6.82";" -230.014";"alfabetización";" 5.918157e-52"
" 201";" 1139";"17.65";" -229.894";"establecer";" 6.287099e-52"
"  94";"  742";"12.67";" -224.806";"didáctico";" 8.093615e-51"
"  19";"  432";" 4.40";" -223.322";"integral";" 1.705697e-50"
" 212";" 1158";"18.31";" -219.832";"centrar";" 9.843150e-50"
"  76";"  659";"11.53";" -216.719";"reto";" 4.700368e-49"
" 289";" 1399";"20.66";" -210.476";"calidad";" 1.081336e-47"
" 324";" 1510";"21.46";" -208.564";"requerir";" 2.825908e-47"
" 390";" 1719";"22.69";" -206.632";"necesario";" 7.457511e-47"
"  21";"  411";" 5.11";" -203.867";"institucional";" 2.992546e-46"
"  30";"  447";" 6.71";" -201.609";"adaptación";" 9.303855e-46"
"  31";"  451";" 6.87";" -201.413";"compromiso";" 1.026990e-45"
" 111";"  765";"14.51";" -201.043";"impulsar";" 1.236640e-45"
"   5";"  332";" 1.51";" -200.858";"gobernanza";" 1.357069e-45"
" 231";" 1181";"19.56";" -198.468";"práctica";" 4.509580e-45"
" 105";"  734";"14.31";" -195.993";"individual";" 1.563984e-44"
" 154";"  905";"17.02";" -192.768";"comunidad";" 7.911527e-44"
"  24";"  404";" 5.94";" -190.789";"capacitación";" 2.138428e-43"
"  29";"  424";" 6.84";" -189.680";"enriquecer";" 3.733510e-43"
"   2";"  299";" 0.67";" -188.882";"equitativo";" 5.577151e-43"
" 162";"  916";"17.69";" -183.666";"reflexión";" 7.675170e-42"
"  21";"  379";" 5.54";" -183.218";"incorporación";" 9.613432e-42"
" 426";" 1779";"23.95";" -183.063";"proyecto";" 1.039180e-41"
" 587";" 2272";"25.84";" -181.449";"proporcionar";" 2.339304e-41"
" 240";" 1170";"20.51";" -178.184";"implicar";" 1.207403e-40"
" 577";" 2233";"25.84";" -178.147";"específico";" 1.230076e-40"
" 176";"  951";"18.51";" -176.639";"organización";" 2.626664e-40"
"  48";"  481";" 9.98";" -175.858";"aporte";" 3.889534e-40"
" 737";" 2708";"27.22";" -175.685";"nivel";" 4.241585e-40"
"  46";"  471";" 9.77";" -174.675";"transparencia";" 7.051307e-40"
" 103";"  688";"14.97";" -173.995";"laboral";" 9.925892e-40"
"  76";"  587";"12.95";" -173.791";"innovador";" 1.099783e-39"
"  17";"  346";" 4.91";" -173.439";"pedagogía";" 1.312595e-39"
" 554";" 2143";"25.85";" -170.452";"futuro";" 5.893382e-39"
"  80";"  583";"13.72";" -162.645";"adoptar";" 2.991401e-37"
" 870";" 3058";"28.45";" -161.123";"capacidad";" 6.429623e-37"
" 717";" 2596";"27.62";" -157.223";"estudio";" 4.576223e-36"
" 141";"  789";"17.87";" -155.248";"brindar";" 1.235985e-35"
"  50";"  455";"10.99";" -155.086";"implementar";" 1.341175e-35"
" 177";"  912";"19.41";" -155.037";"sector";" 1.374238e-35"
" 188";"  947";"19.85";" -153.997";"derecho";" 2.319415e-35"
"  25";"  348";" 7.18";" -152.251";"administrativo";" 5.583373e-35"
" 301";" 1312";"22.94";" -152.091";"destacar";" 6.051137e-35"
" 105";"  656";"16.01";" -152.091";"resolución";" 6.053085e-35"
"  39";"  406";" 9.61";" -152.068";"estratégico";" 6.123816e-35"
"  34";"  385";" 8.83";" -151.747";"ies";" 7.195613e-35"
" 541";" 2047";"26.43";" -149.068";"además";" 2.770985e-34"
"  12";"  285";" 4.21";" -148.614";"integridad";" 3.482705e-34"
"  22";"  323";" 6.81";" -144.550";"sostenible";" 2.693363e-33"
"  44";"  413";"10.65";" -144.025";"estudiantado";" 3.507836e-33"
"  67";"  502";"13.35";" -144.008";"diversidad";" 3.537906e-33"
" 193";"  942";"20.49";" -143.382";"papel";" 4.849782e-33"
" 296";" 1274";"23.23";" -142.430";"comunicación";" 7.829965e-33"
" 384";" 1542";"24.90";" -139.217";"riesgo";" 3.948903e-32"
"  77";"  529";"14.56";" -138.062";"orientación";" 7.062055e-32"
