"";"classe 1";"classe 2";"classe 3"
"ia";-3938,763;1074,321;1313,286
"estudiante";-2363,033;-752,616;4882,969
"más";199,934;-240,728;-2,99
"aprendizaje";-2123,813;-1108,278;5185,601
"educación";-2276,04;1257,564;368,66
"dato";48,681;227,014;-354,895
"educativo";-3227,718;221,227;1981,847
"uso";-1172,613;405,783;323,437
"tecnología";-1242,863;468,555;316,732
"herramienta";-1017,017;-384,167;2219,466
"docente";-1891,836;-7,349;2046,745
"utilizar";21,278;-253,709;64,593
"sistema";-60,317;17,377;19,321
"digital";-752,354;695,751;39,679
"proceso";-1098,866;-163,911;1847,097
"información";21,738;-31,362;-0,035
"desarrollo";-1396,426;1075,653;122,454
"hacer";1336,019;-235,901;-578,818
"cómo";-0,003;-133,56;84,616
"humano";44,569;2,513;-61,926
"nuevo";-13,513;-6,304;31,692
"grande";132,662;-20,624;-61,113
"ejemplo";706,676;-200,068;-229,323
"investigación";-463,695;90,241;190,899
"conocimiento";-418,741;-89,547;770,895
"permitir";-134,166;-339,363;678,996
"generar";205,448;-219,076;-6,182
"chatgpt";232,983;-282,875;-3,28
"forma";36,213;-61,435;0,058
"trabajo";-0,055;-91,113;60,639
"manera";-135,048;-77,728;341,968
"modelo";242,687;-106,426;-52,849
"social";-92,283;325,386;-22,653
"inteligencia";259,586;-1,261;-227,246
"desarrollar";-264,31;0,935;235,394
"dar";159,229;-18,704;-82,436
"aplicación";-29,432;-41,252;109,389
"capacidad";-161,123;-100,348;420,479
"actividad";-35,271;-296,367;380,658
"resultado";11,604;-135,299;34,008
"nivel";-175,685;39,894;66,153
"evaluación";-943,62;-98,244;1465,453
"enseñanza";-1406,893;-140,026;2165,026
"habilidad";-909,792;-199,185;1685,614
"alumno";146,051;-288,585;2,167
"pregunta";90,445;-217,528;5,067
"tiempo";-9,068;-234,185;227,896
"estudio";-157,223;-1,161;176,26
"tarea";1,999;-401,337;208,967
"crear";176,617;-83,786;-35,076
"experiencia";-419,968;-241,047;1062,331
"persona";329,865;8,47;-412,04
"ai";36,995;-3,911;-19,902
"análisis";-114,092;-144,653;404,123
"competencia";-1174,752;328,612;384,603
"mejorar";-470,341;-198,907;1066,084
"crítico";-897,014;-35,473;1182,602
"basar";-97,795;-64,724;261,34
"problema";-9,913;-116,257;135,81
"objetivo";-318,259;6,607;244,648
"respuesta";400,516;-265,25;-48,135
"realizar";110,421;-115,634;-3,611
"parte";-13,086;44,106;-2,797
"bueno";98,398;-32,75;-28,076
"recurso";-469,635;-26,416;652,287
"así";-83,016;11,607;40,08
"contexto";-287,527;-6,776;355,737
"necesidad";-934,535;-16,352;1121,56
"académico";-623,786;-1,546;662,048
"incluir";-92,019;51,403;14,666
"ofrecer";-328,779;-125,566;720,112
"texto";1139,677;-344,765;-351,639
"universidad";-53,279;267,798;-32,725
"futuro";-170,452;23,29;83,1
"ético";-1063,259;2041,498;-11,937
"tanto";-60,271;7,68;30,234
"desafío";-821,875;192,84;303,223
"ya";101,839;-54,593;-17,227
"específico";-178,147;-102,525;451,09
"vez";288,24;-62,947;-111,128
"proporcionar";-181,449;-232,379;645,78
"caso";156,834;-16,284;-84,901
"mucho";718,768;-108,821;-335,129
"for";-4,13;35,323;-7,239
"usar";736,178;-205,946;-241,004
"aprender";112,319;-256,663;4,752
"formación";-853,551;188,917;326,449
"mundo";42,358;-7,175;-18,734
"tecnológico";-512,345;231,863;107,631
"red";742,8;-89,689;-380,555
"contenido";-0,993;-279,689;202,339
"mismo";255,831;-64,546;-90,033
"enfoque";-798,714;2,913;710,268
"education";-13,675;72,273;-9,394
"buscar";23,803;-47,671;0,398
"com";98,782;-15,64;-45,122
"ver";713,357;-97,903;-347,133
"diferente";0,739;-82,365;40,086
"ayudar";-27,325;-133,221;204,919
"además";-149,068;-11,109;217,127
"año";884,527;-59,061;-546,844
"político";-584,532;3388,956;-489,418
"grupo";186,803;-0,077;-177,471
"proyecto";-183,063;-0,438;194,034
"diseño";-309,496;-11,407;404,17
"tomar";-5,746;-1,819;11,851
"tipo";247,489;-91,666;-64,144
"impacto";-577,41;211,111;151,488
"superior";-442,241;184,037;101,98
"práctico";-562,449;7,736;453,537
"estrategia";-566,493;31,766;365,62
"profesor";-69,848;-65,51;215,708
"artificial";38,569;1,826;-52,171
"tema";1,247;-74,494;32,778
"imagen";1457,103;-313,211;-567,062
"analizar";-1,834;-114,387;96,181
"generativa";-109,464;-0,742;122,057
"algoritmo";218,574;-35,228;-99,012
"propio";3,946;-92,662;31,934
"través";-1,937;-55,256;52,746
"considerar";-108,396;4,264;75,361
"learning";12,865;-16,748;-0,099
"aula";-382,83;-122,982;793,199
"decisión";-47,126;1,264;34,95
"importante";-47,59;6,876;22,654
"pensamiento";-305,535;-73,93;581,99
"unesco";-108,69;1294,862;-329,505
"idea";151,372;-112,044;-14,531
"ir";314,864;-76,603;-113,501
"necesario";-206,632;34,891;91,531
"creación";-41,996;-62,85;161,183
"programa";-46,802;91,298;-0,616
"aspecto";-383,4;71,755;161,183
"comprensión";-306,215;-167,709;761,118
"contener";-0,514;-51,891;41,115
"www";42,405;5,744;-69,705
"identificar";-13,542;-73,892;109,202
"entorno";-411,129;-20,254;559,418
"acceso";-64,537;353,202;-47,827
"marco";-727,799;1896,795;-59,944
"profesional";-431,842;94,092;166,72
"riesgo";-139,217;552,936;-47,907
"personal";-74,108;242,166;-14,347
"oportunidad";-572,08;56,972;314,139
"usuario";124,592;-71,54;-19,051
"posible";23,448;-2,373;-12,806
"presentar";-17,544;-11,367;46,492
"medio";82,973;-0,167;-75,723
"cambio";-98,749;1,911;76,59
"encontrar";225,075;-35,669;-102,766
"general";-38,244;208,767;-28,186
"diseñar";-57,379;-82,111;215,43
"ética|ético";-580,083;1252,689;-17,229
"plataforma";-9,619;-79,79;102,884
"internet";603,297;-6,54;-497,83
"cial";11,34;19,437;-46,594
"clase";75,333;-187,421;5,001
"dos";457,308;-82,959;-195,41
"requerir";-208,564;-5,219;259,761
"ámbito";-378,28;59,003;173,995
"fomentar";-755,274;0,185;723,02
"abordar";-507,304;176,981;138,922
"arti";16,196;20,692;-57,576
"fundamental";-482,293;114,278;176,835
"valor";5,936;-0,581;-3,279
"potencial";-435,979;5,647;353,714
"embargo";-1,941;-8,743;13,844
"seguir";82,435;-16,916;-32,953
"lenguaje";640,483;-220,776;-177,273
"comunicación";-142,43;43,376;43,715
"innovación";-472,496;377,59;37,905
"calidad";-210,476;-1,46;235,03
"capítulo";-19,479;126,94;-20,655
"área";-278,619;1,053;247,315
"ciencia";-14,8;57,176;-4,723
"efectivo";-449,547;-67,016;755,544
"comprender";-30,32;-18,85;79,072
"fuente";113,547;-47,042;-26,308
"sociedad";-295,77;1172,513;-101,265
"clave";-97,461;27,06;32,082
"pensar";53,134;-117,131;1,806
"personalizar";-410,708;-248,326;1059,664
"técnica";-11,835;-19,04;47,091
"lugar";28,312;-32,168;-0,613
"vida";11,951;0,017;-12,458
"relación";-4,974;19,77;-1,715
"campo";-49,655;-1,544;63,445
"on";0,921;16,474;-17,335
"interacción";-102,258;-127,097;358,821
"decir";1096,056;-143,803;-543,389
"aplicar";-74,013;-25,383;156,543
"facilitar";-370,852;-72,993;667,85
"promover";-711,573;198,326;233,58
"línea";2,257;-5,796;0,174
"mostrar";223,128;-89,196;-53,653
"punto";86,09;-17,992;-34,057
"escuela";-9,26;114,53;-29,763
"relacionar";-63,05;57,438;3,492
"intelligence";-0,202;86,866;-48,042
"destacar";-152,091;-0,024;152,292
"concepto";-2,023;-104,226;90,06
"partir";153,381;-48,471;-45,701
"institución";-501,635;513,215;18,149
"curso";-43,489;-43,637;138,359
"científico";-18,945;-14,441;53,589
"cuenta";28,624;1,715;-40,165
"obtener";117,083;-95,266;-8,973
"implementación";-633,56;90,936;302,458
"evaluar";-235,687;-80,949;498,73
"empresa";39,81;94,275;-194,232
"automático";216,801;-148,785;-24,346
"pedagógico";-665,516;11,128;525,326
"trabajar";29,279;-5,903;-11,821
"integrar";-314,665;-2,716;356,458
"real";-4,344;-132,13;124,617
"google";1108,911;-192,045;-485,116
"complejo";-0,106;-101,681;68,951
"práctica";-198,468;-78,048;438,941
"conjunto";49,964;-11,906;-18,253
"llevar";18,421;-17,386;-0,907
"alto";16,259;0,618;-21,318
"último";36,324;-9,88;-12,136
"integración";-636,663;0,02;619,486
"gestión";-359,889;159,233;77,588
"base";29,805;-2,034;-18,322
"actual";-91,718;6,025;56,943
"significativo";-267,209;-41,386;453,186
"centro";-67,709;352,174;-44,901
"uno";181,954;-19,277;-97,81
"existir";0,493;6,77;-7,593
"garantizar";-552,192;729,218;3,643
"alumnado";-108,535;-70,042;287,181
"generación";5,708;-58,814;13,712
"avanzar";-42,698;-0,629;50,442
"público";-54,294;1304,163;-452,977
"plantear";-115,521;23,021;46,944
"adaptar";-344,323;-161,485;809,036
"implicar";-178,184;0,069;169,45
"centrar";-219,832;0,003;214,501
"país";-4,792;1058,595;-556,195
"mejora";-296,651;-103,705;631,294
"posibilidad";-21,835;-35,182;86,948
"solución";-108,066;-5,748;148,781
"figura";287,88;-70,104;-103,71
"saber";459,965;-87,753;-191,406
"establecer";-229,894;730,328;-40,544
"profundo";-30,373;-51,237;123,791
"universitario";-91,113;3,501;63,624
"elemento";-0,096;-42,605;29,964
"as";-3,643;-9,194;18,414
"by";550,783;-90,854;-246,757
"virtual";-28,171;-116,703;190,701
"responsable";-451,404;916,959;-8,509
"importancia";-295,132;45,594;136,349
"derecho";-153,997;2033,926;-547,604
"profesorado";-387,831;-5,952;459,821
"apoyo";-345,993;-14,285;458,875
"conocer";137,189;-58,933;-30,568
"perspectiva";-296,738;33,472;155,961
"siguiente";136,069;-36,942;-45,52
"cambiar";-2,401;-81,021;74,989
"máquina";608,367;-115,898;-253,358
"propuesta";-105,542;-4,833;142,062
"plan";-271,708;296,935;7,252
"material";-30,647;-120,314;200,703
"necesitar";48,036;-25,622;-8,183
"nacional";-128,493;1275,325;-290,189
"acción";-41,724;112,693;-4,01
"podar|poder";254,936;-93,432;-66,735
"principal";-20,662;10,84;3,601
"función";1,017;-46,178;19,179
"relevante";-63,223;-17,836;125,909
"medida";-25,182;50,892;-0,455
"equipo";3,542;-7,503;0,092
"sector";-155,037;1130,18;-203,696
"poner";23,311;-0,196;-19,653
"esencial";-360,93;7,731;276,313
"educador";-469,229;-3,899;530,166
"organización";-176,639;787,083;-81,676
"sentido";-1,328;-1,729;4,763
"revista";-6,862;52,542;-9,871
"autor";10,321;8,688;-30,427
"estado";26,935;213,04;-278,72
"día";554,222;-101,943;-235,127
"realidad";4,184;-34,634;6,925
"claro";-5,471;11,884;-0,169
"reflexión";-183,666;-12,706;264,034
"escribir";772,924;-166,554;-300,363
"entender";93,013;-24,29;-31,976
"reconocer";-1,231;0,538;0,27
"papel";-143,382;0,011;138,767
"compartir";0,043;-4,161;1,986
"palabra";797,882;-132,925;-355,756
"inteligente";47,766;-73,495;-0,004
"situación";6,024;-13,62;0,239
"privacidad";-264,177;1845,013;-320,201
"re";-86,033;-16,502;153,895
"comunidad";-192,768;303,091;-0,001
"pasar";398,802;-67,888;-175,955
"tratar";20,223;-5,337;-6,902
"método";-103,445;-104,552;330,168
"principio";-101,084;452,752;-47,336
"tabla";40,431;-26,695;-4,887
"niño";222,723;-13,971;-139,906
"avance";-65,526;19,487;20,488
"colaboración";-421,67;32,815;250,008
"retroalimentación";-270,514;-171,166;710,3
"guía";-134,345;78,068;20,166
"recomendación";-126,543;220,306;-0,363
"paso";190,048;-54,435;-61,141
"servicio";12,344;20,501;-49,913
"capaz";86,619;-34,585;-20,853
"with";0,82;-0,077;-0,46
"interés";-58,29;-3,812;82,993
"proponer";-5,049;-6,032;17,392
"asegurar";-278,168;155,358;44,348
"pequeño";361,201;-14,058;-251,629
"activo";-236,622;-4,018;283,17
"ción";-87,294;2,685;63,365
"referencia";-0,833;143,65;-73,657
"aprovechar";-303,977;6,572;232,427
"querer";451,784;-61,976;-219,887
"data";34,365;1,916;-47,663
"disponible";3,381;1,471;-7,738
"debatir";-62,264;71,161;1,302
"crucial";-351,592;8,141;266,341
"tres";89,439;-2,038;-67,901
"natural";367,522;-124,042;-103,616
"responder";86,769;-32,511;-22,243
"tic";-264,939;177,373;31,202
"rol";-126,342;6,063;84,416
"fin";-29,93;34,544;0,591
"espacio";-15,203;-7,447;36,278
"construir";-1,253;-6,673;9,947
"hecho";266,604;-39,516;-125,491
"asignatura";-47,521;-74,317;186,42
"visión";-9,491;15,673;-0,007
"metodología";-250,924;-34,873;414,898
"resolver";40,08;-100,999;2,829
"is";4,652;0,199;-6,199
"explorar";-84,804;-73,653;253,354
"resultar";2,858;-13,139;1,425
"participación";-320,615;26,329;187,135
"menos";280,519;-37,511;-137,992
"beneficio";-255,522;54,025;100,408
"didáctico";-224,806;-100,763;519,881
"cuestión";-4,515;229,376;-97,658
"libro";179,854;-40,01;-68,576
"investigador";-9,532;1,292;4,662
"modo";93,688;-34,217;-24,605
"seguridad";-70,168;889,609;-234,342
"machine";579,054;-108,78;-242,954
"creatividad";-95,109;-142,801;365,621
"transformar";-132,31;-16,956;214,8
"artículo";101,525;-5,701;-65,503
"amplio";-120,092;3,696;87,167
"momento";194,681;-39,705;-78,093
"aumentar";2,978;-45,728;13,269
"periódico";3,218;4,249;-11,621
"prompt";326,721;-99,922;-99,944
"creativo";-26,763;-95,198;165,082
"brindar";-155,248;-26,387;269,325
"término";38,607;-0,591;-30,781
"siempre";120,903;-25,91;-47,136
"iag";-133,463;-40,715;272,148
"transformación";-272,964;123,108;57,571
"prueba";41,028;-53,507;-0,31
"final";63,876;-37,629;-9,385
"limitación";-83,989;-35,783;190,855
"chatbots";-37,418;-49,943;135,824
"patrón";167,327;-142,367;-11,373
"individual";-195,993;-64,787;409,737
"continuo";-334,906;-17,38;459,327
"abierto";-18,717;16,602;1,127
"preparar";-101,564;-1,527;120,192
"básico";-19,286;3,429;8,327
"impulsar";-201,043;53,37;68,33
"contribuir";-257,929;26,66;139,846
"definir";-0,605;26,263;-10,796
"global";-18,092;160,636;-33,843
"tendencia";-51,092;-1,248;63,464
"apoyar";-257,747;14,55;166,094
"technology";1,187;3,045;-6,055
"gpt";242,055;-102,756;-54,636
"código";76,016;-31,337;-17,705
"explicar";260,531;-54,143;-103,398
"documento";0,028;111,99;-72,948
"that";3,001;-0,092;-2,179
"historia";351,955;-72,796;-140,061
"internacional";-63,685;623,446;-140,569
"lograr";-8,074;-0,066;9,115
"enseñar";-12,042;-51,382;83,026
"representar";36,637;-18,445;-6,749
"dimensión";-50,641;29,344;7,635
"producir";197,88;-37,611;-82,509
"hablar";593,051;-94,498;-270,09
"convertir";1,994;-19,044;4,224
"ahora";367,416;-77,813;-144,235
"responsabilidad";-305,955;706,255;-13,72
"laboral";-173,995;177,84;6,321
"unir";47,39;171,097;-294,948
"evidenciar";-30,114;-27,888;92,488
"parecer";326,731;-44,302;-159,8
"escolar";-42,622;27,988;5,204
"característica";55,618;-53,346;-2,586
"personalización";-306,487;-115,728;668,771
"asistente";3,062;-133,892;55,129
"reto";-216,719;115,794;36,83
"llegar";316,924;-46,44;-149,934
"sesgos";-73,676;254,453;-16,985
"error";143,946;-84,454;-21,285
"juego";209,643;-96,774;-43,028
"respecto";-1,868;38,476;-12,64
"mantener";-22,53;0,012;21,325
"atención";0,384;-1,154;0,056
"web";527,55;-80,827;-244,65
"cultural";-50,238;110,721;-1,705
"prompts";55,2;-52,211;-2,697
"research";2,487;1,523;-6,45
"particular";5,601;-0,199;-3,966
"ayuda";15,099;-51,108;3,271
"indicar";77,966;-20,852;-26,361
"secundario";-36,148;18,653;6,444
"revisión";-128,454;0,883;109,955
"tradicional";-31,756;-69,872;148,83
"rápido";2,134;-1,395;-0,263
"múltiple";-29,008;43,367;0,015
"in";-8,788;0,008;8,22
"lado";6,117;-6,352;-0,208
"cantidad";208,451;-49,401;-76,421
"an";17,097;0,116;-19,064
"recibir";46,746;-33,221;-4,894
"participar";-89,024;23,583;30,302
"from";1,839;2,64;-6,916
"materia";-131,366;126,217;6,07
"incorporar";-80,432;-0,962;93,36
"útil";23,715;-67,576;2,828
"descripción";135,7;-42,35;-40,845
"positivo";-4,546;-16,22;28,092
"informe";1,655;120,839;-99,508
"experto";-1,403;24,277;-7,432
"especialmente";-31,756;1,018;22,893
"segundo";146,389;-41,401;-47,542
"esperar";11,066;-4,543;-2,588
"demostrar";-0,579;-52,427;42,058
"adopción";-279,946;390,074;0,893
"sugerir";-3,039;-68,006;68,139
"número";478,718;-57,244;-246,173
"escenario";-17,515;-15,85;53,258
"resolución";-152,091;-30,611;275,503
"señalar";2,601;-0,933;-0,694
"género";7,295;171,17;-169,824
"grado";-4,335;-4,557;14,082
"rendimiento";-81,971;-87,953;268,75
"limitar";-7,888;-3,777;18,672
"aún";34,86;-3,724;-18,684
"pedir";486,495;-90,566;-205,101
"online";111,6;-12,205;-59,317
"producto";12,313;-3,582;-3,915
"diferencia";82,415;-23,804;-26,348
"gobierno";-121,054;1391,152;-346,727
"percepción";-84,771;-44,971;208,236
"elaboración";1,01;-3,815;0,303
"producción";-19,658;-6,396;40,892
"introducción";-10,558;14,258;0,053
"students";-0,013;0,204;-0,061
"actuar";0,965;-31,005;11,792
"procesamiento";229,792;-51,987;-86,724
"video";335,956;-103,979;-101,798
"visual";44,014;-99,831;1,783
"constante";-89,075;-22,846;172,512
"allá";-11,766;-11,486;36,979
"mercado";-27,685;187,027;-31,486
"use";19,498;-7,347;-4,971
"enfrentar";-105,534;19,439;44,74
"ejercicio";-0,158;-50,379;36,141
"afectar";-1,101;2,759;-0,076
"preciso";0,019;-72,372;43,504
"funcionar";185,313;-62,134;-52,544
"opción";36,139;0,133;-39,005
"informar";-76,298;22,63;23,905
