ia;5636;6173;12399
estudiante;1711;869;7341
más;4340;1218;3860
aprendizaje;1517;520;6862
educación;1236;2714;4225
dato;3044;1788;2198
educativo;529;1757;4629
uso;1347;1879;3510
tecnología;1281;1904;3461
herramienta;1426;660;4615
docente;551;887;3679
utilizar;2168;529;2407
sistema;1589;983;2094
digital;717;1352;1810
proceso;730;524;3276
información;1770;638;1720
desarrollo;509;1596;2103
hacer;2735;398;980
cómo;1558;466;1931
humano;1742;772;1400
nuevo;1327;624;1682
grande;1910;636;1423
ejemplo;2297;387;1154
investigación;747;853;1818
conocimiento;810;447;2266
permitir;1166;284;2371
generar;1816;333;1421
chatgpt;1500;187;1132
forma;1504;462;1424
trabajo;1250;392;1544
manera;1011;439;1932
modelo;1607;352;1075
social;906;923;1100
inteligencia;1529;509;797
desarrollar;796;606;1718
dar;1495;465;998
aplicación;1040;428;1530
capacidad;870;362;1826
actividad;952;176;1668
resultado;1222;301;1354
nivel;737;634;1337
evaluación;265;289;2013
enseñanza;144;280;2338
habilidad;327;233;2194
alumno;1308;152;1111
pregunta;1237;193;1122
tiempo;990;202;1509
estudio;717;466;1413
tarea;1035;89;1414
crear;1395;324;979
experiencia;530;187;1904
persona;1444;534;568
ai;416;135;287
análisis;731;239;1535
competencia;114;763;1413
mejorar;490;210;1885
crítico;253;346;1848
basar;749;315;1438
problema;884;252;1295
objetivo;530;501;1381
respuesta;1375;133;805
realizar;1224;258;986
parte;891;592;996
bueno;1157;334;857
recurso;416;342;1573
así;761;531;1191
contexto;543;399;1445
necesidad;232;378;1812
académico;315;398;1529
incluir;717;583;1090
ofrecer;512;236;1628
texto;1550;62;447
universidad;474;541;540
futuro;554;488;1101
ético;129;1224;837
tanto;725;481;1086
desafío;219;662;1314
ya;1122;289;849
específico;577;235;1421
vez;1258;272;685
proporcionar;587;147;1538
caso;1121;329;686
mucho;1467;223;499
for;92;90;93
usar;1419;139;527
aprender;1027;102;893
formación;155;608;1221
mundo;982;351;791
tecnológico;329;663;1110
red;1306;193;371
contenido;773;89;1153
mismo;1174;250;661
enfoque;199;420;1460
education;64;94;74
buscar;885;253;841
com;609;161;363
ver;1343;199;418
diferente;802;217;968
