"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"29038";"73640";"39.43";"****";""
"1364";"1592";" 85.68";"1457.103";"imagen";"8.205195e-319"
"2735";"4113";" 66.50";"1336.019";"hacer";"1.681918e-292"
"1550";"2059";" 75.28";"1139.677";"texto";"7.860276e-250"
" 944";"1060";" 89.06";"1108.911";"google";"3.820264e-243"
"1073";"1271";" 84.42";"1096.056";"decir";"2.377906e-240"
"1297";"1761";" 73.65";" 884.527";"año";"2.266841e-194"
" 724";" 832";" 87.02";" 797.882";"palabra";"1.558082e-175"
" 768";" 913";" 84.12";" 772.924";"escribir";"4.159163e-170"
"1306";"1870";" 69.84";" 742.800";"red";"1.475680e-163"
"1419";"2085";" 68.06";" 736.178";"usar";"4.062915e-162"
"1467";"2189";" 67.02";" 718.768";"mucho";"2.480250e-158"
"1343";"1960";" 68.52";" 713.357";"ver";"3.724796e-157"
"2297";"3838";" 59.85";" 706.676";"ejemplo";"1.056836e-155"
" 977";"1340";" 72.91";" 640.483";"lenguaje";"2.623328e-141"
" 507";" 556";" 91.19";" 628.307";"cosa";"1.166826e-138"
" 770";" 995";" 77.39";" 608.367";"máquina";"2.534807e-134"
" 912";"1247";" 73.14";" 603.297";"internet";"3.211182e-133"
" 582";" 688";" 84.59";" 593.051";"hablar";"5.436491e-131"
" 574";" 681";" 84.29";" 579.054";"machine";"6.024842e-128"
" 648";" 815";" 79.51";" 554.222";"día";"1.518591e-122"
" 495";" 566";" 87.46";" 550.783";"by";"8.503766e-122"
" 440";" 483";" 91.10";" 543.380";"translated";"3.469083e-120"
" 516";" 609";" 84.73";" 527.550";"web";"9.639412e-117"
" 493";" 577";" 85.44";" 515.460";"página";"4.114346e-114"
" 379";" 405";" 93.58";" 499.942";"millón";"9.786639e-111"
" 516";" 627";" 82.30";" 486.495";"pedir";"8.248940e-108"
" 495";" 596";" 83.05";" 478.718";"número";"4.062080e-106"
" 754";"1055";" 71.47";" 459.965";"saber";"4.892459e-102"
" 951";"1422";" 66.88";" 457.308";"dos";"1.851897e-101"
" 622";" 825";" 75.39";" 451.784";"querer";"2.950727e-100"
" 454";" 551";" 82.40";" 429.057";"computadora";" 2.607514e-95"
" 487";" 608";" 80.10";" 424.502";"luego";" 2.555288e-94"
" 388";" 449";" 86.41";" 417.513";"leer";" 8.488434e-93"
"1375";"2313";" 59.45";" 400.516";"respuesta";" 4.252169e-89"
" 642";" 893";" 71.89";" 398.802";"pasar";" 1.004126e-88"
" 560";" 766";" 73.11";" 367.522";"natural";" 6.482478e-82"
" 538";" 727";" 74.00";" 367.416";"ahora";" 6.836447e-82"
" 611";" 862";" 70.88";" 361.201";"pequeño";" 1.541702e-80"
" 273";" 293";" 93.17";" 355.736";"ordenador";" 2.387864e-79"
" 501";" 671";" 74.66";" 351.955";"historia";" 1.590432e-78"
" 228";" 228";"100.00";" 351.293";"artifcial";" 2.216274e-78"
" 280";" 308";" 90.91";" 343.162";"neuronales";" 1.306937e-76"
" 264";" 284";" 92.96";" 341.997";"teléfono";" 2.343930e-76"
" 443";" 577";" 76.78";" 339.580";"entrenar";" 7.878192e-76"
" 408";" 519";" 78.61";" 335.956";"video";" 4.849124e-75"
" 254";" 272";" 93.38";" 332.709";"correo";" 2.469904e-74"
"1444";"2546";" 56.72";" 329.865";"persona";" 1.028368e-73"
" 517";" 715";" 72.31";" 326.731";"parecer";" 4.953032e-73"
" 476";" 642";" 74.14";" 326.721";"prompt";" 4.977418e-73"
" 398";" 510";" 78.04";" 320.497";"voz";" 1.129081e-71"
" 318";" 378";" 84.13";" 317.793";"casi";" 4.382754e-71"
" 504";" 698";" 72.21";" 316.924";"llegar";" 6.775392e-71"
" 974";"1600";" 60.88";" 314.864";"ir";" 1.904301e-70"
" 265";" 300";" 88.33";" 301.603";"sitio";" 1.474249e-67"
"1258";"2215";" 56.79";" 288.240";"vez";" 1.202606e-64"
" 628";" 949";" 66.17";" 287.880";"figura";" 1.440462e-64"
" 203";" 212";" 95.75";" 282.394";"frase";" 2.258648e-63"
" 319";" 396";" 80.56";" 281.914";"llm";" 2.873936e-63"
" 550";" 808";" 68.07";" 280.519";"menos";" 5.787283e-63"
" 246";" 280";" 87.86";" 275.965";"minuto";" 5.687186e-62"
" 190";" 195";" 97.44";" 275.424";"jugador";" 7.462121e-62"
" 348";" 452";" 76.99";" 268.622";"obra";" 2.265789e-60"
" 558";" 834";" 66.91";" 266.604";"hecho";" 6.239296e-60"
" 194";" 204";" 95.10";" 265.409";"cerebro";" 1.136176e-59"
" 276";" 334";" 82.63";" 262.206";"móvil";" 5.671969e-59"
" 501";" 732";" 68.44";" 260.531";"explicar";" 1.314645e-58"
" 294";" 365";" 80.55";" 259.639";"adolescente";" 2.056817e-58"
"1529";"2835";" 53.93";" 259.586";"inteligencia";" 2.111977e-58"
"1174";"2085";" 56.31";" 255.831";"mismo";" 1.391202e-57"
" 227";" 258";" 87.98";" 255.545";"hombre";" 1.605807e-57"
" 643";"1007";" 63.85";" 254.936";"podar|poder";" 2.180142e-57"
" 328";" 427";" 76.81";" 251.304";"llamar";" 1.349487e-56"
" 192";" 206";" 93.20";" 250.089";"gente";" 2.483192e-56"
" 258";" 311";" 82.96";" 247.742";"entrada";" 8.068565e-56"
"1068";"1875";" 56.96";" 247.489";"tipo";" 9.161591e-56"
"1607";"3034";" 52.97";" 242.687";"modelo";" 1.020383e-54"
" 427";" 609";" 70.11";" 242.055";"gpt";" 1.401732e-54"
" 231";" 270";" 85.56";" 241.382";"falso";" 1.965485e-54"
"1500";"2819";" 53.21";" 232.983";"chatgpt";" 1.332789e-52"
" 211";" 242";" 87.19";" 231.867";"probabilidad";" 2.334800e-52"
" 426";" 616";" 69.16";" 229.792";"procesamiento";" 6.618489e-52"
" 381";" 534";" 71.35";" 229.416";"hoy";" 7.992593e-52"
" 353";" 486";" 72.63";" 225.803";"chat";" 4.904338e-51"
" 244";" 298";" 81.88";" 225.722";"aparecer";" 5.108695e-51"
" 906";"1569";" 57.74";" 225.075";"encontrar";" 7.072165e-51"
" 226";" 269";" 84.01";" 224.686";"openai";" 8.593975e-51"
" 167";" 177";" 94.35";" 224.054";"sensores";" 1.180638e-50"
" 773";"1299";" 59.51";" 223.128";"mostrar";" 1.880091e-50"
" 435";" 638";" 68.18";" 222.723";"niño";" 2.303753e-50"
" 171";" 184";" 92.93";" 221.084";"mil";" 5.247043e-50"
" 280";" 361";" 77.56";" 220.841";"empezar";" 5.927227e-50"
" 248";" 307";" 80.78";" 220.697";"nunca";" 6.371621e-50"
" 993";"1759";" 56.45";" 218.574";"algoritmo";" 1.850835e-49"
" 710";"1179";" 60.22";" 216.801";"automático";" 4.509821e-49"
" 211";" 249";" 84.74";" 214.733";"ciudad";" 1.274213e-48"
" 341";" 472";" 72.25";" 214.162";"después";" 1.697392e-48"
" 286";" 376";" 76.06";" 212.337";"total";" 4.246091e-48"
" 172";" 189";" 91.01";" 211.022";"salida";" 8.220356e-48"
" 429";" 637";" 67.35";" 209.643";"juego";" 1.643281e-47"
" 159";" 170";" 93.53";" 208.788";"robot";" 2.524804e-47"
" 218";" 263";" 82.89";" 208.710";"noticiar";" 2.626401e-47"
" 446";" 670";" 66.57";" 208.451";"cantidad";" 2.991221e-47"
" 270";" 352";" 76.70";" 205.731";"versión";" 1.173033e-46"
"1816";"3570";" 50.87";" 205.448";"generar";" 1.351929e-46"
" 135";" 137";" 98.54";" 200.782";"foto";" 1.409815e-45"
" 353";" 503";" 70.18";" 200.468";"entrenamiento";" 1.651239e-45"
"4340";"9418";" 46.08";" 199.934";"más";" 2.159330e-45"
" 244";" 311";" 78.46";" 199.147";"mensaje";" 3.206414e-45"
" 456";" 698";" 65.33";" 197.880";"producir";" 6.060398e-45"
" 161";" 177";" 90.96";" 197.248";"casa";" 8.324936e-45"
" 179";" 206";" 86.89";" 194.832";"personaje";" 2.802901e-44"
" 497";" 780";" 63.72";" 194.681";"momento";" 3.025072e-44"
" 160";" 177";" 90.40";" 192.946";"macrodatos";" 7.231346e-44"
" 486";" 763";" 63.70";" 190.048";"paso";" 3.103365e-43"
" 192";" 229";" 83.84";" 189.699";"mes";" 3.699061e-43"
" 152";" 166";" 91.57";" 189.337";"audio";" 4.437090e-43"
" 288";" 394";" 73.10";" 187.960";"mujer";" 8.863073e-43"
" 246";" 321";" 76.64";" 186.839";"intentar";" 1.557022e-42"
" 926";"1665";" 55.62";" 186.803";"grupo";" 1.585589e-42"
" 155";" 172";" 90.12";" 185.435";"enviar";" 3.154499e-42"
" 401";" 604";" 66.39";" 185.313";"funcionar";" 3.352440e-42"
" 120";" 120";"100.00";" 184.619";"neurona";" 4.752290e-42"
" 163";" 185";" 88.11";" 183.991";"celular";" 6.518630e-42"
" 160";" 181";" 88.40";" 182.152";"ciento";" 1.643137e-41"
" 687";"1174";" 58.52";" 181.954";"uno";" 1.814576e-41"
" 300";" 420";" 71.43";" 181.066";"nombre";" 2.835957e-41"
" 146";" 160";" 91.25";" 180.271";"gustar";" 4.228856e-41"
" 462";" 726";" 63.64";" 179.854";"libro";" 5.215713e-41"
" 360";" 532";" 67.67";" 178.895";"similar";" 8.447184e-41"
" 116";" 116";"100.00";" 178.456";"turing";" 1.053477e-40"
" 131";" 138";" 94.93";" 178.283";"animal";" 1.148870e-40"
"1395";"2698";" 51.70";" 176.617";"crear";" 2.655799e-40"
" 323";" 466";" 69.31";" 175.323";"poco";" 5.090723e-40"
" 375";" 567";" 66.14";" 170.623";"tan";" 5.408475e-39"
" 183";" 224";" 81.70";" 168.043";"porcentaje";" 1.979936e-38"
" 469";" 752";" 62.37";" 167.327";"patrón";" 2.837812e-38"
" 123";" 130";" 94.62";" 166.046";"etiqueta";" 5.405689e-38"
" 291";" 414";" 70.29";" 165.988";"conversación";" 5.565719e-38"
" 117";" 122";" 95.90";" 163.159";"película";" 2.309461e-37"
" 326";" 481";" 67.78";" 162.852";"hora";" 2.695458e-37"
" 114";" 118";" 96.61";" 161.786";"amazon";" 4.608218e-37"
" 336";" 501";" 67.07";" 161.280";"reconocimiento";" 5.942661e-37"
" 222";" 294";" 75.51";" 160.869";"mis";" 7.308237e-37"
" 133";" 147";" 90.48";" 160.686";"facebook";" 8.012630e-37"
"1495";"2958";" 50.54";" 159.229";"dar";" 1.667391e-36"
" 257";" 357";" 71.99";" 159.206";"regla";" 1.687313e-36"
" 362";" 553";" 65.46";" 158.056";"dejar";" 3.008409e-36"
" 121";" 130";" 93.08";" 156.916";"neuronal";" 5.338382e-36"
"1121";"2136";" 52.48";" 156.834";"caso";" 5.565693e-36"
" 104";" 105";" 99.05";" 156.470";"sonido";" 6.683967e-36"
" 206";" 269";" 76.58";" 155.994";"predecir";" 8.490390e-36"
" 259";" 363";" 71.35";" 155.603";"electrónico";" 1.034005e-35"
" 105";" 107";" 98.13";" 154.588";"ingrediente";" 1.722918e-35"
" 179";" 224";" 79.91";" 154.143";"movimiento";" 2.155460e-35"
" 170";" 209";" 81.34";" 154.123";"clasificar";" 2.177001e-35"
" 717";"1275";" 56.24";" 153.381";"partir";" 3.162382e-35"
" 155";" 185";" 83.78";" 152.752";"pantalla";" 4.340888e-35"
" 165";" 202";" 81.68";" 151.398";"registrar";" 8.577573e-35"
" 880";"1624";" 54.19";" 151.372";"idea";" 8.691972e-35"
