el;26931;13240;29894
de;25858;12916;28648
y;19177;10926;24733
en;18063;9569;21587
que;17603;6274;15985
un;14549;5391;13918
a;13410;5560;13431
para;9923;5540;13649
ser;12051;4484;10488
se;8893;3484;8484
con;8193;3210;7588
este;6829;3286;9366
del;6525;3125;7536
suyo;5322;2387;7400
por;7263;2649;5416
poder;5925;1861;6594
como;5435;2484;6208
o;5817;1490;3689
no;5337;1527;4202
haber;4663;1465;3132
al;3632;1416;3913
sobre;2648;1839;3485
tener;3334;1034;2289
estar;3043;1030;2183
1;1526;756;1245
él;3023;584;1869
deber;1433;1199;2475
otro;2554;820;1818
todo;2281;1063;1567
2;1472;702;1197
también;1575;872;2287
entre;1732;807;1771
3;1345;583;1122
2023;756;673;895
cada;1693;418;1632
si;2099;427;917
nuestro;1510;327;1001
4;1094;504;969
sin;1554;507;1346
qué;1578;329;783
nosotros;1497;286;1086
10;554;301;345
pero;1809;314;836
ese;1678;285;561
alguno;1347;370;871
desde;939;560;1026
5;881;337;673
m;266;174;200
solo;844;339;1227
s;361;167;256
sino;562;331;1452
j;148;144;159
primero;1080;277;525
2022;386;355;399
c;307;160;329
cuando;1136;189;437
donde;675;236;845
2019;293;300;301
i;291;216;292
2020;309;347;357
6;514;259;448
2024;291;297;448
2021;249;306;366
bien;709;291;512
2018;378;290;253
p;279;170;241
tú;741;92;308
d;236;164;243
l;145;152;225
yo;884;57;226
muy;872;130;377
hasta;763;152;440
diversos;374;252;779
7;448;193;331
mediante;505;185;595
8;418;154;314
f;138;212;277
r;124;86;157
n;206;146;162
aunque;523;148;494
según;500;155;474
durante;551;135;397
hacia;258;208;549
0;258;83;119
cual;487;164;390
cualquier;503;155;283
9;375;138;171
b;193;75;202
tal;409;185;301
2017;229;140;152
porque;592;63;170
dentro;278;184;395
incluso;468;114;276
largo;279;151;403
varios;365;136;320
mío;520;24;149
antes;453;111;260
12;290;94;136
t;108;50;73
mientras;404;91;280
algo;548;47;137
bajo;344;138;226
aquel;319;105;315
2016;186;109;153
