"";"X1";"X2";"dist"
"1";"X.YEAR2019";"X.YEAR2020";0,29980749324666
"2";"X.YEAR2019";"X.YEAR2021";0,298643296778763
"3";"X.YEAR2019";"X.YEAR2022";0,260172807299781
"4";"X.YEAR2019";"X.YEAR2023";0,217505028479673
"5";"X.YEAR2019";"X.YEAR2024";0,237238865579546
"6";"X.YEAR2019";"X.YEAR2025";0,25772756893502
"7";"X.YEAR2020";"X.YEAR2021";0,261108937129663
"8";"X.YEAR2020";"X.YEAR2022";0,303554800524082
"9";"X.YEAR2020";"X.YEAR2023";0,264736047715992
"10";"X.YEAR2020";"X.YEAR2024";0,249600356403642
"11";"X.YEAR2020";"X.YEAR2025";0,266426038249492
"12";"X.YEAR2021";"X.YEAR2022";0,280452623689359
"13";"X.YEAR2021";"X.YEAR2023";0,243104549154927
"14";"X.YEAR2021";"X.YEAR2024";0,231015334810585
"15";"X.YEAR2021";"X.YEAR2025";0,254902863232248
"16";"X.YEAR2022";"X.YEAR2023";0,206812381598225
"17";"X.YEAR2022";"X.YEAR2024";0,224877726481735
"18";"X.YEAR2022";"X.YEAR2025";0,255106404838077
"19";"X.YEAR2023";"X.YEAR2024";0,137132004589684
"20";"X.YEAR2023";"X.YEAR2025";0,163755248766689
"21";"X.YEAR2024";"X.YEAR2025";0,116407086199581
