"";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"diez";1;0;2;0;36;31;28
"pregunta";10;7;25;39;562;1070;987
"frecuente";0;1;1;2;25;36;58
"y";565;1494;4623;1138;17142;45723;25174
"urgente";0;0;1;0;15;32;30
"sobre";63;70;435;119;1570;3885;1937
"ia";233;762;1844;371;5154;15481;7105
"marco";1;30;82;18;132;1033;345
"j";8;29;108;15;286;959;781
"gómez";0;1;0;0;9;83;44
"universidad";8;50;67;11;342;1252;476
"nacional";6;75;75;13;115;581;166
"de";1190;3798;9268;2481;30752;84684;45090
"córdoba";0;0;0;1;2;11;16
"fundación";1;4;6;2;22;52;37
"sadosky";0;0;0;2;0;3;9
"ar";0;2;9;3;236;202;92
"pablar";0;0;1;2;6;19;7
"martínez";2;3;2;4;23;107;96
"lópez";0;1;0;0;9;128;98
"del";135;368;736;292;3540;8937;5371
"resumen";2;1;16;3;45;223;48
"a";298;835;2301;632;8909;19860;11606
"partir";5;13;27;21;208;613;297
"el";1798;5010;13492;3573;48429;118690;68099
"publicación";0;11;80;5;106;278;106
"chatgpt";0;0;0;0;1163;1893;662
"3";9;37;164;35;769;2109;1290
"cobrar";0;0;0;2;14;24;24
"protagonismo";0;0;1;0;3;12;17
"en";545;1577;3245;935;13717;35115;20513
"vida";15;15;79;12;353;480;230
"cotidiano";7;3;9;7;48;104;113
"medio";12;25;149;13;217;546;558
"comunicación";5;10;98;9;164;721;405
"industriar";1;30;29;0;31;128;85
"academia";0;7;1;3;26;66;50
"solución";10;12;47;11;195;504;286
"basar";38;27;149;39;468;1234;516
"resultar";5;27;19;25;114;360;200
"tan";7;14;15;9;180;192;94
"exitoso";1;5;6;3;26;82;36
"que";409;975;2177;814;11617;23503;13241
"mucho";42;47;139;63;472;645;385
"gente";5;3;11;2;24;25;17
"empezar";2;2;9;5;56;120;54
"realizar";24;50;64;32;480;1140;569
"este";140;311;595;273;3635;9165;6130
"tecnología";37;154;368;52;1194;3412;1699
"ser";269;457;1192;505;7181;13671;8086
"para";208;589;1743;476;6423;16350;8242
"mayoría";8;10;18;1;104;167;109
"persona";27;37;303;82;443;994;410
"un";362;748;1579;629;9018;20327;11200
"caja";0;0;19;2;13;35;37
"negro";0;0;23;6;25;34;28
"se";209;497;976;407;4226;10585;6483
"depositar";0;1;1;0;1;4;5
"esperanza";0;3;2;0;15;23;9
"permitir";41;52;104;30;590;1869;972
"solucionar";0;2;6;2;13;32;14
"problema";27;26;106;50;514;1036;562
"hoy";8;6;16;8;138;151;87
