"";"banalfreq";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"urgente";83;-0,2204;-0,226;-0,6313;-0,9381;-0,4492;0,3206;-0,6483;1,7489
"fundación";131;-0,3501;0,2517;0,7119;0,2857;0,3156;-0,3131;-0,6381;0,6172
"pablar";42;1,8847;-0,1143;-0,3194;-0,3531;1,0204;-0,4104;0,3397;-0,8737
"cobrar";70;0,591;-0,1906;-0,5324;-1,367;0,6674;0,4865;-1,0973;1,2411
"solución";1125;-0,8243;0,7647;-1,3308;-0,4031;-0,5779;-0,2964;0,7979;0,344
"exitoso";174;0,9418;-0,1527;0,7287;-0,4523;0,4373;-0,6367;0,7651;-1,0166
"depositar";13;0,2519;-0,0354;0,6912;0,3539;-0,0703;-0,5053;-0,5723;0,6739
"esperanza";61;1,9379;-0,1661;1,0465;-0,3061;-0,3301;1,0126;-0,6429;-1,4447
"implementan";31;-0,3698;-0,0844;1,786;-0,6054;0,4943;-0,4507;-0,2881;0,4228
"poner";965;1,2998;-1,2215;1,9162;1,095;0,3786;-0,8214;-1,7442;0,8756
"ambiente";270;-1,8479;-0,3041;0,2974;-1,3402;-0,457;0,2848;1,018;0,5725
"propósito";479;-1,5952;-0,7007;0,6675;-1,9548;-1,7468;0,4126;1,0189;0,6179
"especializado";330;-0,8567;0,4683;0,4561;-0,3893;-1,0751;0,3154;1,4899;-0,9715
"suscitar";49;-0,7208;0,5776;-0,3727;-0,1979;-0,2652;0,4661;-0,2708;0,4612
"auge";61;1,1071;1,2512;-0,1464;-1,1913;-0,3301;1,0126;-0,5041;-0,7013
"dra";63;-0,6001;-0,1715;-0,4792;-1,2303;-0,3409;0,7106;0,5467;0,3753
"lic";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;0,526;0,4175;-0,2063
"gabriel";18;-0,4935;-0,049;-0,1369;0,2558;1,6868;1,5926;-0,5646;-0,884
"exacto";69;0,3814;0,4545;-0,5248;-0,3867;1,264;-1,4811;0,4634;0,5588
"directora";101;-0,8931;0,8798;-0,7682;0,3386;-0,1912;0,5277;0,5421;-0,4811
"cerrado";58;0,3211;0,516;-0,4411;-0,2775;-0,3139;-0,361;1,3406;-0,9894
"aristas";12;0,2748;-0,0327;-0,0913;-0,2343;0,8573;-0,1856;-0,24;-0,1927
"surgir";479;-0,8776;0,7374;-0,2611;-1,1836;1,1079;-0,3271;-0,5285;1,1999
"intervenir";98;0,2529;-0,2668;1,5464;0,5814;0,465;0,4709;-0,672;-0,5124
"afectar";605;0,4076;-1,6473;-0,7548;1,9077;0,6545;0,8052;0,3203;-1,5498
"37";208;-0,5714;-0,5663;-0,9123;0,3643;-0,5683;-0,9577;-0,2777;1,8482
"funcionamiento";354;-1,8129;-0,2081;-0,8652;-1,5961;1,1189;-0,536;0,7966;1,0609
"rechazar";68;0,3944;-0,1851;-0,1745;0,4554;-0,368;0,5432;-0,3852;-0,3604
"circulación";24;-0,2491;-0,0653;-0,1825;0,5452;-0,1299;-0,4201;0,7174;-0,3852
"frontera";118;0,5282;0,2817;-0,4083;0,379;0,7432;0,4041;0,5826;-1,4418
"impactado";17;-0,1422;-0,0463;-0,1293;0,2721;-0,092;-0,7486;-0,2741;0,9528
"masivo";206;1,0846;-0,5608;-0,2847;0,5253;1,8234;1,2394;-0,8523;-1,3586
"grá";13;-0,3564;-0,0354;0,6912;-0,2539;-0,0703;0,399;-1,4508;1,5931
"existencia";140;0,3115;-0,3812;0,3573;-1,2865;-0,7576;0,3238;-0,3054;0,8044
"inmenso";55;0,9263;-0,1497;0,2088;-1,0741;-0,2976;1,6575;-0,9206;-0,3339
"concentrar";90;-0,2796;-0,245;0,6862;0,4406;-0,487;1,253;-1,4575;0,4867
"voluntario";78;0,9834;-0,2124;0,4053;-0,2598;-0,4221;1,6347;-0,6403;-1,0706
"costoso";34;-0,4248;-0,0926;-0,2586;1,2164;-0,184;0,2569;0,2785;-0,3003
"estadístico";246;0,3595;0,3419;-0,7022;-0,6148;0,4399;0,3548;-0,6549;0,8597
"certeza";38;1,0954;-0,1035;0,3134;-0,7421;-0,2056;0,9564;-1,0137;0,3005
