"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"diez";0,15;0,06;0;0,02;0;0,08;0,03;0,04
"pregunta";0,57;0,6;0,15;0,21;1,18;1,21;0,92;1,46
"frecuente";0,02;0;0,02;0,01;0,06;0,05;0,03;0,09
"y";34,53;33,77;32,14;39,27;34,32;36,85;39,45;37,26
"urgente";0,03;0;0;0,01;0;0,03;0,03;0,04
"sobre";3,8;3,77;1,51;3,69;3,59;3,38;3,35;2,87
"ia";5,62;13,93;16,39;15,66;11,19;11,08;13,36;10,52
"marco";0,21;0,06;0,65;0,7;0,54;0,28;0,89;0,51
"j";0,27;0,48;0,62;0,92;0,45;0,61;0,83;1,16
"gómez";0;0;0,02;0;0;0,02;0,07;0,07
"universidad";0,53;0,48;1,08;0,57;0,33;0,74;1,08;0,7
"nacional";0,16;0,36;1,61;0,64;0,39;0,25;0,5;0,25
"de";72,39;71,12;81,71;78,72;74,83;66,11;73,07;66,74
"córdoba";0;0;0;0;0,03;0;0,01;0,02
"fundación";0,04;0,06;0,09;0,05;0,06;0,05;0,04;0,05
"sadosky";0;0;0;0;0,06;0;0;0,01
"ar";0,01;0;0,04;0,08;0,09;0,51;0,17;0,14
"pablar";0,04;0;0;0,01;0,06;0,01;0,02;0,01
"martínez";0,02;0,12;0,06;0,02;0,12;0,05;0,09;0,14
"lópez";0,01;0;0,02;0;0;0,02;0,11;0,15
"del";8,5;8,07;7,92;6,25;8,81;7,61;7,71;7,95
"resumen";0,07;0,12;0,02;0,14;0,09;0,1;0,19;0,07
"a";19,23;17,81;17,96;19,54;19,06;19,15;17,14;17,18
"partir";0,42;0,3;0,28;0,23;0,63;0,45;0,53;0,44
"el";101,15;107,46;107,78;114,6;107,76;104,12;102,42;100,8
"publicación";0,08;0;0,24;0,68;0,15;0,23;0,24;0,16
"chatgpt";0;0;0;0;0;2,5;1,63;0,98
"3";0,57;0,54;0,8;1,39;1,06;1,65;1,82;1,91
"cobrar";0,04;0;0;0;0,06;0,03;0,02;0,04
"protagonismo";0;0;0;0,01;0;0,01;0,01;0,03
"en";27,02;32,57;33,93;27,56;28,2;29,49;30,3;30,36
"vida";0,93;0,9;0,32;0,67;0,36;0,76;0,41;0,34
"cotidiano";0,09;0,42;0,06;0,08;0,21;0,1;0,09;0,17
"medio";0,53;0,72;0,54;1,27;0,39;0,47;0,47;0,83
"comunicación";0,23;0,3;0,22;0,83;0,27;0,35;0,62;0,6
