"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"num";23,14;14,12;28,28;39,04;23,4;28,77;32,16;38,37
"nom";219,21;230,94;217,2;218,17;233,44;219,57;228,08;212,31
"adj";67,63;83,52;76,98;67,08;67,18;67,48;74,25;73,95
"con";84,15;76,75;61,63;67,02;77,41;76,7;72,04;68,8
"pre";159,8;164,82;166,74;159,61;160,57;152,48;156,05;147,64
"nr";70,53;74,82;148,18;158,74;92,86;114,95;125,49;155,65
"sw";22,7;25,97;27,14;25,34;30,68;28,48;29,04;29,3
"ver";105,9;94,84;82,25;78,31;96,91;97,23;89,84;84,58
"art_def";118,86;126,07;117,23;121,34;121,37;118,23;114,7;111,34
"adv";27,68;23,75;15,17;13,96;20,31;18,85;15,12;15,28
"pro_dem";9,47;9,45;6,98;5,57;10,2;9,13;8,58;9,56
"ver_sup";41,73;39,92;26,14;24,19;32,96;34,12;26,39;25,4
"pro_pos";15,44;6,54;6,66;4,89;7,37;8,04;7,69;7,12
"adv_sup";7,7;10,62;4,72;4,28;6,38;5,51;4,83;5
"adj_ind";12,52;9,45;9,41;8,84;10,8;10,4;8,35;8,02
"pro";2,6;2,16;0,43;0,74;2,22;2,53;1,28;0,99
"pron_dem";0,05;0;0,02;0;0,03;0,05;0,02;0,03
"adj_sup";0,77;1,46;0,53;0,93;1,07;1,21;1,22;1,6
"pro_per";8,97;2,57;2,87;1,29;4,22;5,29;3,94;3,89
"adl";0;0;0;0,01;0;0,01;0,12;0,1
"pro_rel";0,97;2,16;1,45;0,64;0,46;0,88;0,8;1,03
"pron";0,18;0,06;0;0,02;0,17;0,08;0,04;0,03
"interj";0;0;0;0;0;0;0;0
