"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"diez";6,9834;0,2696;-0,9355;-1,0493;-0,6656;3,1022;-4,6183;-0,5174
"pregunta";-10,8075;-1,4078;-13,0393;-26,9863;0,6081;4,0428;-7,2732;31,9127
"frecuente";-0,9741;-0,3458;-0,4549;-1,645;0,3303;0,5554;-3,4304;6,3136
"y";-13,5038;-2,6479;-11,0594;2,1694;-3,6001;-4,8298;30,2327;-3,2261
"urgente";-0,2204;-0,226;-0,6313;-0,9381;-0,4492;0,3206;-0,6483;1,7489
"sobre";4,4038;0,8693;-13,079;2,4198;0,8277;1,2894;2,2763;-10,3045
"ia";-157,4733;2,0086;17,0759;30,7975;-0,9272;-8,3153;80,9194;-34,3894
"marco";-15,0869;-3,4994;0,3404;0,7594;-0,4949;-28,7848;51,0332;-5,3314
"j";-20,4569;-1,198;-1,2023;0,7845;-2,2008;-8,6253;-0,3935;24,2398
"gómez";-3,7558;-0,373;-0,5079;-2,6755;-0,7414;-3,7308;4,4627;1,3767
"universidad";-6,3432;-1,283;1,1912;-3,7782;-3,7796;-3,0646;27,0428;-6,5665
"nacional";-7,3339;-0,2935;23,1371;4,3054;-0,2504;-8,6448;13,7047;-13,4122
"de";2,6537;0,3909;19,6897;27,2321;2,8219;-40,1606;41,6969;-47,3006
"córdoba";-0,8224;-0,0817;-0,2282;-0,5859;0,506;-1,0624;-0,5308;3,0396
"fundación";-0,3501;0,2517;0,7119;0,2857;0,3156;-0,3131;-0,6381;0,6172
"sadosky";-0,3838;-0,0381;-0,1065;-0,2734;1,8983;-1,1602;-1,093;2,6364
"ar";-13,3796;-1,4839;-2,3903;-3,4569;-1,025;44,4051;-2,7357;-5,7271
"pablar";1,8847;-0,1143;-0,3194;-0,3531;1,0204;-0,4104;0,3397;-0,8737
"martínez";-3,6943;0,354;-0,3983;-2,8254;0,4604;-3,3227;0,4373;6,4346
"lópez";-4,3904;-0,648;-1,0938;-4,648;-1,288;-9,9702;3,1438;7,2661
