"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"num";-125,7025;-52,5496;-7,8802;36,3565;-23,9851;-63,4203;-4,1326;212,1601
"nom";-2,0494;2,8102;-2,0001;-2,7371;7,3264;-3,7798;117,1984;-104,3478
"adj";-14,3435;7,8468;4,4906;-12,9778;-4,0109;-46,4312;27,7302;9,5637
"con";78,6063;1,7971;-21,1875;-13,9393;3,6925;35,2655;-2,0096;-43,0066
"pre";11,4138;4,3161;14,5756;7,9675;3,4613;-3,1524;16,5339;-65,9869
"nr";-Inf;-114,8208;35,1555;209,5772;-98,8774;-236,0352;-56,2608;Inf
"sw";-51,6182;-1,5803;-1,3787;-11,3149;2,1924;0,3918;7,4619;6,7605
"ver";114,5689;1,7317;-9,8394;-52,425;5,0796;76,3384;-1,687;-83,3761
"art_def";6,2517;5,2685;1,1028;11,5352;3,7737;12,6853;-1,9706;-31,9895
"adv";250,8007;11,444;-2,3077;-14,2617;6,9586;38,6124;-67,5505;-25,1808
"pro_dem";2,6014;0,6871;-5,6198;-40,8278;2,3624;1,9878;-4,5674;13,1252
"ver_sup";224,0692;17,0972;-3,101;-21,021;6,3574;142,2278;-74,8837;-74,1168
"pro_pos";227,9808;-1,7023;-3,2321;-39,4798;-0,9036;0,7928;-4,3497;-18,5575
"adv_sup";43,6087;17,6232;-1,1334;-5,8564;2,8165;3,3938;-13,0703;-2,4437
"adj_ind";52,3027;0,599;0,8366;-0,4645;3,7119;30,514;-20,6209;-21,9808
"pro";29,2054;1,7592;-12,2133;-13,8123;3,3597;83,7419;-14,3277;-38,2625
"pron_dem";1,5161;-0,1915;-0,1937;-1,4156;0,2285;2,3813;-1,9923;-0,2731
"adj_sup";-9,7619;0,5821;-6,8025;-3,6829;-0,7655;-0,886;-1,3388;19,1878
"pro_per";155,7119;-3,9923;-7,0586;-83,9108;-0,399;27,4767;-17,5222;-10,5681
"adl";-6,0586;-0,5905;-1,7026;-3,3124;-1,197;-10,3336;9,7972;1,7925
"pro_rel";0,8294;5,8154;4,1147;-3,0929;-2,6075;-0,3935;-5,6181;5,7165
"pron";8,6919;0,2359;-1,089;-1,3287;2,0603;2,7613;-2,9697;-2,7907
"interj";-0,0273;-0,0027;-0,0077;-0,0197;-0,0054;-0,0826;0,3646;-0,1272
