"";"*YEAR2018";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"num";3955;242;1389;4849;810;13978;38973;27331
"nom";37464;3957;10668;27097;8082;106689;276439;151213
"adj";11559;1431;3781;8331;2326;32789;89997;52669
"con";14381;1315;3027;8324;2680;37268;87313;49005
"pre";27310;2824;8190;19824;5559;74086;189134;105155
"nr";12054;1282;7278;19715;3215;55852;152097;110858
"sw";3880;445;1333;3147;1062;13839;35202;20868
"ver";18099;1625;4040;9726;3355;47243;108883;60243
"art_def";20314;2160;5758;15071;4202;57447;139017;79299
"adv";4730;407;745;1734;703;9161;18322;10882
"pro_dem";1618;162;343;692;353;4435;10404;6807
"ver_sup";7132;684;1284;3004;1141;16580;31984;18091
"pro_pos";2638;112;327;607;255;3906;9315;5074
"adv_sup";1316;182;232;532;221;2679;5859;3560
"adj_ind";2139;162;462;1098;374;5054;10115;5714
"pro";445;37;21;92;77;1230;1549;705
"pron_dem";9;0;1;0;1;22;21;18
"adj_sup";132;25;26;115;37;588;1481;1141
"pro_per";1533;44;141;160;146;2570;4774;2770
"adl";0;0;0;1;0;7;143;71
"pro_rel";165;37;71;79;16;427;965;736
"pron";30;1;0;2;6;39;43;21
"interj";0;0;0;0;0;0;1;0
